dsp clock from the systime interface: 546045534479
sequence_number, timestamp(us), updated_timestamp(us), acc_x, acc_y, acc_z, ang_x, ang_y, ang_z, temperature_C
258190, 541497567, 546460684, -0.12, -0.64, -0.68, -0.06, 0.25, -0.09, 42.26
258191, 541499581, 546462698, -0.17, -0.31, 1.62, 0.12, -0.22, -0.09, 42.25
258192, 541501565, 546464682, 0.28, -0.39, 1.93, 0.42, -0.54, -0.02, 42.18
258193, 541503580, 546466697, 0.35, 0.50, 0.83, 0.23, -0.18, 0.05, 42.22
258194, 541505563, 546468680, 0.27, 0.66, 1.36, 0.13, 0.15, 0.11, 42.25
258195, 541507578, 546470695, 0.10, 0.39, -0.08, 0.12, 0.42, 0.08, 42.26
258196, 541509562, 546472679, -0.43, -0.02, 2.08, -0.05, 0.29, -0.01, 42.22
258197, 541511576, 546474693, -0.11, -0.49, -0.41, -0.07, 0.09, -0.11, 42.22
258198, 541513560, 546476677, -0.10, -0.43, 1.91, 0.15, -0.36, -0.11, 42.26
258199, 541515574, 546478691, 0.28, -0.41, 1.58, 0.44, -0.49, -0.03, 42.25
258200, 541517558, 546480675, 0.27, 0.48, 0.44, 0.21, -0.11, 0.06, 42.24
258201, 541519573, 546482690, 0.28, 0.77, 1.77, 0.16, 0.25, 0.11, 42.25
258202, 541521587, 546484704, 0.04, 0.40, -0.28, 0.05, 0.48, 0.07, 42.27
258203, 541523571, 546486688, -0.24, -0.01, 2.00, -0.03, 0.22, -0.02, 42.21
258204, 541525585, 546488702, -0.18, -0.54, -0.12, -0.07, -0.07, -0.11, 42.26
258205, 541527569, 546490686, -0.03, -0.53, 1.98, 0.20, -0.41, -0.10, 42.28
258206, 541529583, 546492700, 0.31, -0.31, 1.30, 0.42, -0.39, -0.01, 42.24
258207, 541531567, 546494684, 0.29, 0.46, 0.50, 0.17, -0.04, 0.08, 42.21
258208, 541533582, 546496699, 0.21, 0.83, 1.56, 0.19, 0.25, 0.12, 42.22
258209, 541535565, 546498682, -0.05, 0.43, -0.03, -0.01, 0.44, 0.06, 42.24
258210, 541537580, 546500697, -0.18, -0.15, 1.71, -0.01, 0.17, -0.04, 42.25
258211, 541539564, 546502681, -0.14, -0.51, 0.04, -0.07, -0.17, -0.13, 42.24
258212, 541541578, 546504695, 0.14, -0.60, 2.11, 0.21, -0.41, -0.11, 42.27
258213, 541543562, 546506679, 0.29, -0.18, 1.44, 0.36, -0.35, -0.00, 42.28
258214, 541545576, 546508693, 0.19, 0.34, 0.13, 0.17, 0.00, 0.10, 42.25
258215, 541547560, 546510677, 0.14, 0.87, 1.66, 0.23, 0.29, 0.14, 42.25
258216, 541549575, 546512692, -0.12, 0.41, -0.03, -0.06, 0.46, 0.06, 42.23
258217, 541551558, 546514675, -0.24, -0.10, 1.39, -0.02, 0.18, -0.06, 42.24
258218, 541553573, 546516690, -0.06, -0.39, 0.68, -0.05, -0.26, -0.14, 42.24
258219, 541555587, 546518704, 0.20, -0.69, 2.02, 0.20, -0.47, -0.12, 42.21
